h3_cell,forecast_method,predicted_violations_next_week,predicted_lower,predicted_upper,trend_direction,trend_slope,forecast_confidence,CIS,hotspot_status,police_station,location_name,lat,lon,trend_multiplier,predicted_risk,risk_category
8960145b553ffff,prophet,411,243,585,FALLING,-3.4965398996841945,0.16854561601383555,59.4976953522282,CONFIRMED_HIGH,Upparpet,Upparpet / Cell-53ffff,12.976643712847023,77.57632550358989,0.7,41.64838674655974,MODERATE
896016964b7ffff,prophet,166,91,242,RISING,5.103389156644612,0.09366922486353757,40.13400363163655,CONFIRMED_HIGH,Kodigehalli,Kodigehalli / Cell-b7ffff,13.07137061077048,77.58802158301225,1.3,52.17420472112752,MODERATE
89618920a23ffff,prophet,17,0,51,STABLE,-0.2769968682796093,-2.6941114090525757,53.02239902153711,CONFIRMED_HIGH,HAL Old Airport,HAL Old Airport / Cell-23ffff,12.963164781012658,77.71726383607594,1.0,53.02239902153711,MODERATE
8960145b3a7ffff,prophet,108,31,188,FALLING,-3.752173717613006,-0.45489094022449184,33.31746994134772,CONFIRMED_HIGH,Rajajinagar,Rajajinagar / Cell-a7ffff,12.999730430405863,77.54972044392554,0.7,23.322228958943402,LOW
89618924473ffff,prophet,1,0,6,STABLE,-0.10461367278607553,-5.497912155621993,32.565434084925364,CONFIRMED_HIGH,Hulimavu,Hulimavu / Cell-73ffff,12.879233485714286,77.6456909952381,1.0,32.565434084925364,LOW
8960145b5cbffff,prophet,245,135,358,RISING,1.889230605002621,0.08676859078561516,44.2463437886695,CONFIRMED_HIGH,Upparpet,Upparpet / Cell-cbffff,12.973756489804275,77.57866179377075,1.3,57.52024692527035,MODERATE
89618925a23ffff,prophet,17,0,48,STABLE,-0.7066801966604123,-2.7079845157704177,28.631219048042063,EMERGING,Ashok Nagar,Ashok Nagar / Cell-23ffff,12.962185600683762,77.59880388239317,1.0,28.631219048042063,LOW
8961892cc57ffff,prophet,5,0,27,STABLE,-0.4787008028212966,-6.46061613415956,41.62613553568546,EMERGING,K.G. Halli,K.G. Halli / Cell-57ffff,13.03473938153846,77.62440522115384,1.0,41.62613553568546,MODERATE
896189240d3ffff,prophet,18,11,26,STABLE,0.526571575516415,0.17381971650059613,39.19243475471343,CONFIRMED_HIGH,Hulimavu,Hulimavu / Cell-d3ffff,12.886260340321398,77.64145997035871,1.0,39.19243475471343,LOW
8961892530bffff,prophet,30,5,55,STABLE,0.45392816010328996,-0.6665261197154193,33.64354880059575,EMERGING,Jeevanbheemanagar,Jeevanbheemanagar / Cell-0bffff,12.95935826788074,77.64545430985342,1.0,33.64354880059575,LOW
8961892e9abffff,prophet,183,49,330,FALLING,-3.767697475552336,-0.5356704879690146,41.54200006227337,CONFIRMED_HIGH,Shivajinagar,Shivajinagar / Cell-abffff,12.981655948531362,77.60786495755163,0.7,29.079400043591356,LOW
89618920a3bffff,prophet,16,0,49,STABLE,-0.31824560257695483,-3.0725129841152965,32.71687708524962,CONFIRMED_HIGH,HAL Old Airport,HAL Old Airport / Cell-3bffff,12.964684696255508,77.71824643722468,1.0,32.71687708524962,LOW
8960145b147ffff,prophet,54,32,74,RISING,1.27248603627714,0.2237920975696116,36.90254141875107,CONFIRMED_HIGH,Rajajinagar,Rajajinagar / Cell-47ffff,12.99283892549536,77.5534142566107,1.3,47.973303844376396,MODERATE
8960145b02fffff,prophet,18,0,42,STABLE,-0.1934793263069637,-1.5826942204244738,38.15398985388067,EMERGING,Sheshadripuram,Sheshadripuram / Cell-2fffff,12.996312090697671,77.56315291881607,1.0,38.15398985388067,LOW
8961892e937ffff,prophet,96,7,183,STABLE,-0.36396463550472646,-0.8330179715087787,31.015876298424967,CONFIRMED_HIGH,Shivajinagar,Shivajinagar / Cell-37ffff,12.983845418565798,77.60334447875874,1.0,31.015876298424967,LOW
89601690193ffff,prophet,124,55,195,RISING,2.450531375555814,-0.12718037815379102,35.760185174466855,CONFIRMED_HIGH,Chikkajala,Chikkajala / Cell-93ffff,13.185352477922684,77.67996324876572,1.3,46.488240726806914,MODERATE
8961892c9d7ffff,prophet,58,14,99,STABLE,-0.9302655385224291,-0.46291761181988567,33.39218466187042,EMERGING,Hebbala,Hebbala / Cell-d7ffff,13.035421988519449,77.58909947572145,1.0,33.39218466187042,LOW
8960145a24fffff,prophet,80,20,141,STABLE,0.05062931643704347,-0.509582242784486,38.72338252327548,EMERGING,Magadi Road,Magadi Road / Cell-4fffff,12.973560736313356,77.55095972182062,1.0,38.72338252327548,LOW
8961892ec9bffff,prophet,31,0,71,STABLE,-0.9739507765241162,-1.5607153463098955,36.20507862506558,EMERGING,Jeevanbheemanagar,Jeevanbheemanagar / Cell-9bffff,12.971755293808584,77.65805124366673,1.0,36.20507862506558,LOW
