h3_cell,violation_count,unique_vehicles,unique_devices,unique_days,mean_severity,peak_hour_count,mean_vehicle_severity,dominant_vehicle,dominant_violation,lat,lon,police_station,has_junction_pct,road_type,lanes,road_capacity,peak_ratio,violations_per_device,has_stdbscan_cluster,gi_z_score,gi_p_value,gi_hotspot,gi_coldspot,lisa_i,lisa_p,lisa_q,lisa_label,lisa_significant,lisa_hh,hotspot_status,hotspot_confidence,mean_dwell,median_dwell,dwell_samples,chronic_offender_count,max_days_seen,lambda_raw,lambda_normalized,mu,expected_n,bpr_delay_min_per_km,cis_violation_density,cis_vehicle_severity,cis_queueing_delay,road_impact_raw,cis_road_capacity_impact,cis_temporal_persistence,cis_peak_hour_ratio,CIS,rank,sensitivity_note,location_name,peak_description,predicted_risk,risk_category,trend_direction,predicted_violations_next_week,priority_score,recommended_shift,peak_hour
8960144a2cbffff,1,1,1,1,1.871497387511852,0,4.5,LORRY/GOODS VEHICLE,WRONG PARKING,13.0715267,77.442553,No Police Station,0.0,collector,2.0,2400.0,0.0,1.0,False,-0.3068628427340854,0.119,False,False,0.1529162624276829,0.129,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000276066421581,0.000276066421581,0.6057786546239967,0.0004557216063553,0.0721285610858029,0.0,0.7,0.2425000554729393,0.5,0.0031746031746031,0.0,0.0,18.89762015707783,499,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),No Police Station / Cell-cbffff,Distributed throughout the day,15.118096125662266,MINIMAL,UNKNOWN,1,2.8569603808095554,morning_shift,6:00
8960144a2dbffff,4,4,1,1,1.6115671948018726,0,3.875,LORRY/GOODS VEHICLE,WRONG PARKING,13.070772475,77.4438399,No Police Station,0.0,collector,2.0,2400.0,0.0,4.0,False,-0.335926305797564,0.079,False,False,0.089096469860245,0.085,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.0011042656863241,0.0011042656863241,0.6057786546239967,0.0018228864254214,0.0723701988329885,0.019108280254777,0.575,0.2457369328987783,2.0,0.0222222222222222,0.0,0.0,17.225778997678326,688,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),No Police Station / Cell-dbffff,Distributed throughout the day,13.780623198142662,MINIMAL,UNKNOWN,4,2.373819696614846,morning_shift,6:00
8960144a64bffff,3,3,1,1,1.700868595738177,3,2.1666666666666665,PASSENGER AUTO,NO PARKING | WRONG PARKING | PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,13.065641133333337,77.45335143333334,No Police Station,0.0,collector,2.0,2400.0,1.0,3.0,False,-0.3262379078351828,0.092,False,False,0.1118824834440299,0.101,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000828199264743,0.000828199264743,0.6057786546239967,0.001367164819066,0.0721724201230591,0.0127388535031847,0.2333333333333333,0.2430875726521348,1.5,0.0158730158730158,0.0,1.0,20.08498469538422,421,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),No Police Station / Cell-4bffff,Heavy peak-hour concentration (>60%),16.067987756307378,MINIMAL,UNKNOWN,3,3.2272528817105472,morning_shift,8:00
8960144b4dbffff,19,19,1,1,0.428692469644646,0,1.0,SCOOTER,WRONG PARKING,13.085203484210528,77.48646901578948,Chikkabanavara,0.0,collector,2.0,2400.0,0.0,19.0,True,-0.4189707174307284,0.008,False,True,-0.3779763790512812,0.013,4,HL,True,False,EMERGING,0.3,99.04607820366608,,0.0,0.0,,0.0052452620100396,0.0052452620100396,0.6057786546239967,0.0086587105207517,0.0724472957099164,0.1146496815286624,0.0,0.2467696901705094,9.5,0.1174603174603174,0.0,0.0,9.563540603531512,1728,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Chikkabanavara / Cell-dbffff,Distributed throughout the day,7.65083248282521,MINIMAL,UNKNOWN,19,0.7316904710031672,night_shift,5:00
8960144b5a3ffff,12,12,2,7,1.4036230406338894,0,3.375,HGV,WRONG PARKING,13.06802355,77.44888053333334,No Police Station,0.0,collector,2.0,2400.0,0.0,6.0,False,-0.3553051951387544,0.056,False,False,0.0389861945087582,0.06,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.0033127970589723,0.0016563985294861,0.6057786546239967,0.0027343296381321,0.072474855187556,0.0318471337579617,0.475,0.2471388653183435,3.0,0.0349206349206349,0.04,0.0,16.16276517412544,794,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),No Police Station / Cell-a3ffff,Distributed throughout the day,11.313935621887808,MINIMAL,FALLING,0,1.828644846517455,morning_shift,2:00
8960144b5afffff,3,3,2,2,1.963917011586512,0,5.0,HGV,WRONG PARKING,13.069667666666666,77.4462186,No Police Station,0.0,collector,2.0,2400.0,0.0,1.5,False,-0.3117064153152898,0.109,False,False,0.1432250987047592,0.124,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000828199264743,0.0004140996323715,0.6057786546239967,0.000683582409533,0.0721943621429015,0.0031847133757961,0.8,0.2433814987027307,0.75,0.0063492063492063,0.0066666666666666,0.0,21.109152570354283,350,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),No Police Station / Cell-afffff,Distributed throughout the day,14.776406799247995,MINIMAL,FALLING,0,3.1191742556694635,night_shift,3:00
8960144b5b3ffff,2,2,2,2,1.7675253104278608,0,4.25,HGV,WRONG PARKING,13.06699575,77.45180705,No Police Station,0.0,collector,2.0,2400.0,0.0,1.0,False,-0.3068628427340854,0.12,False,False,0.1529162624276829,0.129,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000552132843162,0.000276066421581,0.6057786546239967,0.0004557216063553,0.0721230810489661,0.0,0.65,0.2424266472089722,0.5,0.0031746031746031,0.0066666666666666,0.0,17.96281865846516,642,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),No Police Station / Cell-b3ffff,Distributed throughout the day,17.96281865846516,MINIMAL,STABLE,0,3.2266285415690406,morning_shift,11:00
89601451097ffff,1,1,1,1,0.3465735902799726,1,1.0,SCOOTER,NO PARKING,12.8778133,77.517105,Thalagattapura,0.0,local,2.0,1600.0,1.0,1.0,False,-0.0551728277537223,0.443,False,False,0.0274096786337755,0.436,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000276066421581,0.000276066421581,0.6057786546239967,0.0004557216063553,0.1080778318613138,0.0,0.0,0.7240613363735308,0.5,0.0031746031746031,0.0,1.0,24.528845775089664,190,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Thalagattapura / Cell-97ffff,Heavy peak-hour concentration (>60%),19.62307662007173,MINIMAL,UNKNOWN,1,4.813314200465071,morning_shift,9:00
896014511cbffff,1,1,1,1,0.6238324625039507,0,1.5,PASSENGER AUTO,WRONG PARKING,12.8838377,77.5019219,Thalagattapura,0.0,collector,2.0,2400.0,0.0,1.0,False,-0.3919480055574534,0.023,False,True,0.1953444378892419,0.027,3,LL,True,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000276066421581,0.000276066421581,0.6057786546239967,0.0004557216063553,0.0720628349790288,0.0,0.1,0.2416196162461077,0.5,0.0031746031746031,0.0,0.0,6.880011372541205,2105,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Thalagattapura / Cell-cbffff,Distributed throughout the day,5.504009098032964,MINIMAL,UNKNOWN,1,0.37867645189037047,morning_shift,6:00
89601451207ffff,8,8,1,1,0.3812309493079698,0,1.0,SCOOTER,NO PARKING,12.9097421625,77.51339805,Kengeri,0.0,collector,2.0,2400.0,0.0,8.0,False,-0.3754976529721267,0.032,False,True,-0.017212219133182,0.039,4,HL,True,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.0022085313726482,0.0022085313726482,0.6057786546239967,0.0036457728508428,0.0722053362797892,0.0445859872611464,0.0,0.2435285036155542,4.0,0.0476190476190476,0.0,0.0,6.69950546812546,2134,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Kengeri / Cell-07ffff,Distributed throughout the day,5.3596043745003685,MINIMAL,UNKNOWN,8,0.3590669881395436,morning_shift,12:00
