h3_cell,lat,lon,location_name,police_station,violation_count,violations_per_device,unique_vehicles,unique_days,CIS,rank,hotspot_status,hotspot_confidence,cis_violation_density,cis_vehicle_severity,cis_queueing_delay,cis_road_capacity_impact,cis_temporal_persistence,cis_peak_hour_ratio,bpr_delay_min_per_km,expected_n,mean_dwell,chronic_offender_count,peak_ratio,peak_description,road_type,lanes,dominant_vehicle,dominant_violation,gi_z_score,gi_p_value,lisa_label
8960144a2cbffff,13.0715267,77.442553,No Police Station / Cell-cbffff,No Police Station,1,1.0,1,1,18.89762015707783,499,NOT_HOTSPOT,0.0,0.0,0.7,0.2425000554729393,0.0031746031746031746,0.0,0.0,0.0721285610858029,0.0004557216063553,99.04607820366608,0.0,0.0,Distributed throughout the day,collector,2.0,LORRY/GOODS VEHICLE,WRONG PARKING,-0.3068628427340854,0.119,LL
8960144a2dbffff,13.070772475,77.4438399,No Police Station / Cell-dbffff,No Police Station,4,4.0,4,1,17.225778997678326,688,NOT_HOTSPOT,0.0,0.01910828025477707,0.575,0.24573693289877838,0.022222222222222223,0.0,0.0,0.0723701988329885,0.0018228864254214,99.04607820366608,0.0,0.0,Distributed throughout the day,collector,2.0,LORRY/GOODS VEHICLE,WRONG PARKING,-0.335926305797564,0.079,LL
8960144a64bffff,13.065641133333337,77.45335143333334,No Police Station / Cell-4bffff,No Police Station,3,3.0,3,1,20.08498469538422,421,NOT_HOTSPOT,0.0,0.012738853503184714,0.2333333333333333,0.24308757265213485,0.015873015873015872,0.0,1.0,0.0721724201230591,0.001367164819066,99.04607820366608,0.0,1.0,Heavy peak-hour concentration (>60%),collector,2.0,PASSENGER AUTO,NO PARKING | WRONG PARKING | PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,-0.3262379078351828,0.092,LL
8960144b4dbffff,13.085203484210528,77.48646901578948,Chikkabanavara / Cell-dbffff,Chikkabanavara,19,19.0,19,1,9.563540603531512,1728,EMERGING,0.3,0.11464968152866242,0.0,0.24676969017050943,0.11746031746031746,0.0,0.0,0.0724472957099164,0.0086587105207517,99.04607820366608,0.0,0.0,Distributed throughout the day,collector,2.0,SCOOTER,WRONG PARKING,-0.4189707174307284,0.008,HL
8960144b5a3ffff,13.06802355,77.44888053333334,No Police Station / Cell-a3ffff,No Police Station,12,6.0,12,7,16.16276517412544,794,NOT_HOTSPOT,0.0,0.03184713375796178,0.475,0.24713886531834356,0.03492063492063492,0.04,0.0,0.072474855187556,0.0027343296381321,99.04607820366608,0.0,0.0,Distributed throughout the day,collector,2.0,HGV,WRONG PARKING,-0.3553051951387544,0.056,LL
8960144b5afffff,13.069667666666666,77.4462186,No Police Station / Cell-afffff,No Police Station,3,1.5,3,2,21.109152570354283,350,NOT_HOTSPOT,0.0,0.0031847133757961785,0.8,0.2433814987027307,0.006349206349206349,0.006666666666666667,0.0,0.0721943621429015,0.000683582409533,99.04607820366608,0.0,0.0,Distributed throughout the day,collector,2.0,HGV,WRONG PARKING,-0.3117064153152898,0.109,LL
8960144b5b3ffff,13.06699575,77.45180705,No Police Station / Cell-b3ffff,No Police Station,2,1.0,2,2,17.96281865846516,642,NOT_HOTSPOT,0.0,0.0,0.65,0.24242664720897225,0.0031746031746031746,0.006666666666666667,0.0,0.0721230810489661,0.0004557216063553,99.04607820366608,0.0,0.0,Distributed throughout the day,collector,2.0,HGV,WRONG PARKING,-0.3068628427340854,0.12,LL
89601451097ffff,12.8778133,77.517105,Thalagattapura / Cell-97ffff,Thalagattapura,1,1.0,1,1,24.528845775089664,190,NOT_HOTSPOT,0.0,0.0,0.0,0.7240613363735308,0.0031746031746031746,0.0,1.0,0.1080778318613138,0.0004557216063553,99.04607820366608,0.0,1.0,Heavy peak-hour concentration (>60%),local,2.0,SCOOTER,NO PARKING,-0.0551728277537223,0.443,LL
896014511cbffff,12.8838377,77.5019219,Thalagattapura / Cell-cbffff,Thalagattapura,1,1.0,1,1,6.880011372541205,2105,NOT_HOTSPOT,0.0,0.0,0.1,0.24161961624610778,0.0031746031746031746,0.0,0.0,0.0720628349790288,0.0004557216063553,99.04607820366608,0.0,0.0,Distributed throughout the day,collector,2.0,PASSENGER AUTO,WRONG PARKING,-0.3919480055574534,0.023,LL
89601451207ffff,12.9097421625,77.51339805,Kengeri / Cell-07ffff,Kengeri,8,8.0,8,1,6.69950546812546,2134,NOT_HOTSPOT,0.0,0.044585987261146494,0.0,0.2435285036155542,0.047619047619047616,0.0,0.0,0.0722053362797892,0.0036457728508428,99.04607820366608,0.0,0.0,Distributed throughout the day,collector,2.0,SCOOTER,NO PARKING,-0.3754976529721267,0.032,HL
