police_station,h3_cell,location_name,lat,lon,priority_rank,priority_score,CIS,predicted_risk,trend_direction,hotspot_status,recommended_shift,peak_hour,bpr_delay,violation_count,reasoning
Adugodi,89618925123ffff,Adugodi / Cell-23ffff,12.93257742425532,77.63155460404255,1,4.9,19.3,25.1,RISING,EMERGING,night_shift,2:00,0.07,470,Violations RISING — proactive enforcement needed
Adugodi,896189258dbffff,Adugodi / Cell-dbffff,12.94190218,77.61392946,2,4.8,22.0,22.0,STABLE,NOT_HOTSPOT,morning_shift,2:00,0.11,5,Standard priority zone
Adugodi,89618925e03ffff,Adugodi / Cell-03ffff,12.94771885,77.62249205,3,3.6,18.9,18.9,STABLE,NOT_HOTSPOT,morning_shift,12:00,0.11,2,Standard priority zone
Adugodi,89618925133ffff,Adugodi / Cell-33ffff,12.931012921100915,77.63294650550459,4,2.8,14.8,19.2,RISING,EMERGING,morning_shift,11:00,0.07,109,Violations RISING — proactive enforcement needed
Adugodi,896189258d3ffff,Adugodi / Cell-d3ffff,12.9401336,77.614233,5,2.8,18.8,15.0,UNKNOWN,NOT_HOTSPOT,night_shift,4:00,0.11,2,Standard priority zone
Ashok Nagar,89618925a4fffff,Ashok Nagar / Cell-4fffff,12.973437534375,77.6087324078125,1,9.2,26.6,34.6,RISING,EMERGING,morning_shift,10:00,0.11,256,Violations RISING — proactive enforcement needed
Ashok Nagar,89618925a23ffff,Ashok Nagar / Cell-23ffff,12.962185600683762,77.59880388239317,2,8.2,28.6,28.6,STABLE,EMERGING,night_shift,4:00,0.11,585,36 repeat offenders identified
Ashok Nagar,89618925a27ffff,Ashok Nagar / Cell-27ffff,12.962027366336631,77.59624987128713,3,7.0,26.5,26.5,STABLE,EMERGING,night_shift,3:00,0.11,303,25 repeat offenders identified
Ashok Nagar,89618925a2bffff,Ashok Nagar / Cell-2bffff,12.966906830555557,77.59962929027778,4,6.9,23.0,29.9,RISING,EMERGING,morning_shift,6:00,0.11,72,Violations RISING — proactive enforcement needed
Ashok Nagar,8961892584bffff,Ashok Nagar / Cell-4bffff,12.951586756862746,77.60757632254902,5,6.7,25.9,25.9,STABLE,EMERGING,morning_shift,10:00,0.07,102,8 repeat offenders identified
